IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
LIZA,KOBIETA,614
NELLI,KOBIETA,611
SUSANNA,KOBIETA,610
CATHERINE,KOBIETA,610
LETYCJA,KOBIETA,605
NIKOLINA,KOBIETA,594
NELL,KOBIETA,590
BOZHENA,KOBIETA,588
ORYNA,KOBIETA,586
MIROSLAVA,KOBIETA,574
SAMIRA,KOBIETA,573
TATYANA,KOBIETA,572
LESYA,KOBIETA,572
KATHERINE,KOBIETA,571
VIVIEN,KOBIETA,571
ELMIRA,KOBIETA,560
NOA,KOBIETA,557
MARIETA,KOBIETA,556
CHRISTINA,KOBIETA,555
KAREN,KOBIETA,553
ARIANNA,KOBIETA,553
MIRANDA,KOBIETA,547
ROZA,KOBIETA,544
STANISLAVA,KOBIETA,543
OXANA,KOBIETA,541
LESŁAWA,KOBIETA,541
JULIANA,KOBIETA,540
TEREZA,KOBIETA,538
JULITTA,KOBIETA,537
ARIADNA,KOBIETA,534
YAEL,KOBIETA,533
LAYLA,KOBIETA,532
KATHARINA,KOBIETA,530
ALEVTYNA,KOBIETA,525
AUGUSTYNA,KOBIETA,524
ANIA,KOBIETA,523
AGNES,KOBIETA,515
NIKOLETA,KOBIETA,514
AIDA,KOBIETA,512
MARIJA,KOBIETA,506
YUSTYNA,KOBIETA,506
MIŁOSŁAWA,KOBIETA,505
JASMINE,KOBIETA,504
MATILDA,KOBIETA,502
WILHELMINA,KOBIETA,502
ELZA,KOBIETA,499
ANGELICA,KOBIETA,497
CHRISTINE,KOBIETA,492
ROZWITA,KOBIETA,491
NEONILA,KOBIETA,487
SYLWESTRA,KOBIETA,487
VALERIYA,KOBIETA,486
ALMA,KOBIETA,485
RYMMA,KOBIETA,485
GAIA,KOBIETA,483
CHIARA,KOBIETA,479
RYTA,KOBIETA,479
DOBROMIŁA,KOBIETA,478
IZOLDA,KOBIETA,473
YEVANHELINA,KOBIETA,471
EMA,KOBIETA,470
MARGARET,KOBIETA,469
RADOSŁAWA,KOBIETA,468
ERNESTYNA,KOBIETA,467
CHLOE,KOBIETA,464
HALSZKA,KOBIETA,462
JACQUELINE,KOBIETA,462
ISABELLE,KOBIETA,456
REHINA,KOBIETA,455
MARTHA,KOBIETA,455
MARY,KOBIETA,451
AMIRA,KOBIETA,450
LIDIYA,KOBIETA,448
MARYANA,KOBIETA,445
MARGOT,KOBIETA,445
AMY,KOBIETA,444
NASTIA,KOBIETA,443
SOLOMIYA,KOBIETA,443
ISABEL,KOBIETA,438
FRANCESCA,KOBIETA,437
RUTH,KOBIETA,435
YASMIN,KOBIETA,435
IRENE,KOBIETA,432
EUFEMIA,KOBIETA,431
MICHAL,KOBIETA,431
INGRIDA,KOBIETA,429
VASILISA,KOBIETA,429
LYUDMILA,KOBIETA,428
STEPHANIE,KOBIETA,428
NANA,KOBIETA,426
ZLATOSLAVA,KOBIETA,426
IEVGENIIA,KOBIETA,425
DEBORA,KOBIETA,424
HIACYNTA,KOBIETA,421
EMILIYA,KOBIETA,420
ISMENA,KOBIETA,420
LUDOMIRA,KOBIETA,420
LUCY,KOBIETA,420
PETRONELA,KOBIETA,417
ECATERINA,KOBIETA,416
LADA,KOBIETA,416
DAIANA,KOBIETA,416
JELENA,KOBIETA,415
INESSA,KOBIETA,412
MADINA,KOBIETA,411
ANIDA,KOBIETA,410
RACHEL,KOBIETA,405
LEYLA,KOBIETA,405
PAOLA,KOBIETA,404
ANDŻELINA,KOBIETA,404
ZARINA,KOBIETA,403
KSYMENA,KOBIETA,399
BETINA,KOBIETA,398
JESICA,KOBIETA,397
JULIE,KOBIETA,397
FRYDERYKA,KOBIETA,397
AMELIE,KOBIETA,395
ANNE,KOBIETA,395
ELIANA,KOBIETA,393
ZENAIDA,KOBIETA,393
DELFINA,KOBIETA,393
LUKRECJA,KOBIETA,391
LIUBOU,KOBIETA,390
ANNA-MARIIA,KOBIETA,389
LUBOV,KOBIETA,386
NADINE,KOBIETA,385
AISHA,KOBIETA,384
GRACJA,KOBIETA,382
LUISA,KOBIETA,380
BENIGNA,KOBIETA,379
CYRYLA,KOBIETA,375
IWETTA,KOBIETA,375
LOLITA,KOBIETA,373
LUBOW,KOBIETA,372
SHARON,KOBIETA,369
NARCYZA,KOBIETA,369
MALIKA,KOBIETA,366
CARLA,KOBIETA,365
OLIVIIA,KOBIETA,365
NATIA,KOBIETA,364
IWETA,KOBIETA,359
IULIA,KOBIETA,359
KLAVDIIA,KOBIETA,358
NICOLETTA,KOBIETA,354
ŻANNA,KOBIETA,353
GRACE,KOBIETA,353
HELEN,KOBIETA,352
NADEZHDA,KOBIETA,351
EMILIE,KOBIETA,350
OLESYA,KOBIETA,348
WALTRAUDA,KOBIETA,347
ROSE,KOBIETA,346
YESENIIA,KOBIETA,345
LARISSA,KOBIETA,344
VIVIENNE,KOBIETA,343
ANICETA,KOBIETA,343
LANA,KOBIETA,342
YULIANNA,KOBIETA,339
AMELIIA,KOBIETA,338
BIBIANNA,KOBIETA,338
MEGAN,KOBIETA,335
CAMILA,KOBIETA,335
KESJA,KOBIETA,333
JOHANNA,KOBIETA,333
MIKA,KOBIETA,333
YEVDOKIIA,KOBIETA,332
ESTHER,KOBIETA,331
LORENA,KOBIETA,330
NILA,KOBIETA,330
MARYAM,KOBIETA,330
LIUBOMYRA,KOBIETA,329
LYDIA,KOBIETA,329
CAMILLA,KOBIETA,329
SCHOLASTYKA,KOBIETA,328
THI,KOBIETA,327
SOFYA,KOBIETA,327
ADI,KOBIETA,326
MALVINA,KOBIETA,324
KATIA,KOBIETA,324
KATARINA,KOBIETA,323
LUDMYLA,KOBIETA,321
CORNELIA,KOBIETA,319
VLADISLAVA,KOBIETA,318
ANDRZELIKA,KOBIETA,317
ASTRID,KOBIETA,316
LEAH,KOBIETA,316
ELENI,KOBIETA,315
FATMA,KOBIETA,315
AŁŁA,KOBIETA,313
REBECCA,KOBIETA,312
ALESSIA,KOBIETA,312
JULIIA,KOBIETA,312
HERMINA,KOBIETA,312
RACHELA,KOBIETA,312
TEONA,KOBIETA,309
ALESSANDRA,KOBIETA,309
ROSA,KOBIETA,308
LIIA,KOBIETA,308
SZARLOTA,KOBIETA,307
SUSANNE,KOBIETA,304
ADAMINA,KOBIETA,303
ZOSIA,KOBIETA,303
NASTAZJA,KOBIETA,303
KARINE,KOBIETA,302
ILZA,KOBIETA,302
PETRA,KOBIETA,300
VLADLENA,KOBIETA,300
NADEJDA,KOBIETA,299
THỊ,KOBIETA,299
STEPANIIA,KOBIETA,299
BELLA,KOBIETA,297
ZEYNEP,KOBIETA,294
LEONORA,KOBIETA,293
ANJA,KOBIETA,293
SONJA,KOBIETA,292
URSULA,KOBIETA,292
SUSAN,KOBIETA,292
MODESTA,KOBIETA,292
WERA,KOBIETA,292
MARINE,KOBIETA,291
SOFIE,KOBIETA,290
